path,sha1,size,file_description,source_key_timestamp,created_timestamp,modified_timestamp,modified_timestamp2,linker_timestamp,product,company,pe_sizeofimage,version_number,version,language,header_hash,pe_checksum,id,switchbackcontext
c:\users\user\appdata\local\microsoft\onedrive\17.3.6943.0625\FileSyncFAL.dll,0000818b581a471c1c6833839d35a9d6f3544f6a9c92,,,2017-08-03 11:34:04.654176,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-08-01 12:05:02.598865,1969-12-31 19:00:00,,,,,,,,,0000659b3b63c514582e025e19d3276899150000ffff,
c:\users\user\appdata\local\temp\vmware-user\000052fe\setup64.exe,0000e992f0c2aa48b763b5f7109ea16b8f800436c27e,57353160,VMware installation launcher,2017-08-01 11:55:26.781757,2017-08-01 11:53:37.791646,2017-08-01 11:53:38.119720,2017-08-01 11:53:32.818697,2017-03-17 09:35:16,VMware Tools,"VMware, Inc.",897024,10.1.6.5214329,10.1.6.5214329,1033,0101d7f29a6ec6bc195eacf9a1f1bce127e8d9bdc212,57373861,000675a010066bb612ca7357ce31df8e9f0300000904,72057594138789122
c:\users\user\appdata\local\temp\{d2236796-832d-4e8c-a337-0c6eeb8acb27}~setup\vcredist_x86.exe,0000470640aa4bb7db8e69196b5edb0010933569e98d,4479832,Microsoft Visual C++ 2008 Redistributable Setup,2017-08-01 11:53:42.338502,2017-08-01 11:53:41.182231,2017-08-01 11:53:41.244730,2017-08-01 11:53:41.639862,2005-06-01 11:46:51,Microsoft Visual C++ 2008 Redistributable,Microsoft Corporation,122880,9.0.30729.5677,9.0.30729.5677,1033,0101b1a1983fbe125410b6225d169510731732be3285,4506036,0006b3dbb507fde17753a5a023782c5c6ad100000904,72057594037928960
c:\users\user\appdata\local\temp\{d2236796-832d-4e8c-a337-0c6eeb8acb27}~setup\vcredist_x64.exe,0000a7c83077b8a28d409e36316d2d7321fa0ccdb7e8,5207896,Microsoft Visual C++ 2008 Redistributable Setup,2017-08-01 11:54:03.901115,2017-08-01 11:53:41.244730,2017-08-01 11:53:41.322899,2017-08-01 11:53:40.964426,2005-06-01 11:46:51,Microsoft Visual C++ 2008 Redistributable,Microsoft Corporation,122880,9.0.30729.5677,9.0.30729.5677,1033,0101cb0e003d29edfc011172a19283687d0751bb9083,5253371,0006b3dbb507fde17753a5a023782c5c6ad100000904,72057594037928960
c:\Program Files (x86)\Common Files\Microsoft Shared\VC\msdia90.dll,000050d9baa3f13350a38e6faf6b7ed9c0aba5260b3a,,,2017-08-03 11:34:02.920919,1601-01-01 00:00:00,1601-01-01 00:00:00,2011-04-19 02:47:04.040789,1969-12-31 19:00:00,,,,,,,,,00008691777ad6859922fe285949af735d9300000904,
C:\Windows\WinSxS\x86_microsoft.vc90.atl_1fc8b3b9a1e18e3b_9.0.30729.6161_none_51cd0a7abbe4e19b\ATL90.dll,0000c9412258f457558875fe9cc8999f1bcfd30738b5,,,2017-08-03 11:34:02.920919,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-08-01 11:53:50.074138,1969-12-31 19:00:00,,,,,,,,,00008691777ad6859922fe285949af735d9300000904,
c:\Program Files\Common Files\Microsoft Shared\VC\msdia90.dll,0000ac4608231fce95c4036dc04e1b0cf56ae813df03,,,2017-08-03 11:34:01.482123,1601-01-01 00:00:00,1601-01-01 00:00:00,2011-04-19 02:09:27.980066,1969-12-31 19:00:00,,,,,,,,,0000cefe0311c4937cb18dd07637d57e45e700000904,
C:\Windows\SysWOW64\mfc71.dll,0000664dc99e78261a43d876311931694b6ef87cc8b9,,,2017-08-03 11:34:02.294668,1601-01-01 00:00:00,1601-01-01 00:00:00,2003-03-18 19:20:00.103629,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Windows\SysWOW64\mfc71u.dll,000068b25cb19dee136d4f31809bc61bf2adca0cb41c,,,2017-08-03 11:34:02.294668,1601-01-01 00:00:00,1601-01-01 00:00:00,2003-03-18 19:12:12.074650,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Windows\SysWOW64\msvcr71.dll,0000d5502a1d00787d68f548ddeebbde1eca5e2b38ca,,,2017-08-03 11:34:02.294668,1601-01-01 00:00:00,1601-01-01 00:00:00,2003-02-21 02:42:22.020890,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
